Sexo;Comunidades y Ciudades Autónomas;Nivel de formación alcanzado;Periodo;Total
Hombres;02 Aragón;Analfabetos;2022T2;0,9
Hombres;02 Aragón;Analfabetos;2022T1;0,6
Hombres;02 Aragón;Analfabetos;2021T4;0,5
Hombres;02 Aragón;Analfabetos;2021T3;0,7
Hombres;02 Aragón;Analfabetos;2021T2;0,6
Hombres;02 Aragón;Analfabetos;2021T1;0,5
Hombres;02 Aragón;Estudios primarios incompletos;2023T4;2,2
Hombres;02 Aragón;Estudios primarios incompletos;2023T3;2,2
Hombres;02 Aragón;Estudios primarios incompletos;2023T2;2,7
Hombres;02 Aragón;Estudios primarios incompletos;2023T1;2,3
Hombres;02 Aragón;Estudios primarios incompletos;2022T4;2,6
Hombres;02 Aragón;Estudios primarios incompletos;2022T3;2,0
Hombres;02 Aragón;Estudios primarios incompletos;2022T2;2,4
Hombres;02 Aragón;Estudios primarios incompletos;2022T1;2,4
Hombres;02 Aragón;Estudios primarios incompletos;2021T4;1,8
Hombres;02 Aragón;Estudios primarios incompletos;2021T3;1,7
Hombres;02 Aragón;Estudios primarios incompletos;2021T2;2,2
Hombres;02 Aragón;Estudios primarios incompletos;2021T1;2,1
Hombres;02 Aragón;Educación primaria;2023T4;10,4
Hombres;02 Aragón;Educación primaria;2023T3;10,6
Hombres;02 Aragón;Educación primaria;2023T2;10,2
Hombres;02 Aragón;Educación primaria;2023T1;10,9
Hombres;02 Aragón;Educación primaria;2022T4;10,2
Hombres;02 Aragón;Educación primaria;2022T3;11,3
Hombres;02 Aragón;Educación primaria;2022T2;12,1
Hombres;02 Aragón;Educación primaria;2022T1;11,6
Hombres;02 Aragón;Educación primaria;2021T4;12,3
Hombres;02 Aragón;Educación primaria;2021T3;11,6
Hombres;02 Aragón;Educación primaria;2021T2;11,9
Hombres;02 Aragón;Educación primaria;2021T1;12,0
Hombres;02 Aragón;Primera etapa de Educación Secundaria y similar;2023T4;30,4
Hombres;02 Aragón;Primera etapa de Educación Secundaria y similar;2023T3;29,9
Hombres;02 Aragón;Primera etapa de Educación Secundaria y similar;2023T2;28,7
Hombres;02 Aragón;Primera etapa de Educación Secundaria y similar;2023T1;31,2
Hombres;02 Aragón;Primera etapa de Educación Secundaria y similar;2022T4;30,0
Hombres;02 Aragón;Primera etapa de Educación Secundaria y similar;2022T3;28,6
Hombres;02 Aragón;Primera etapa de Educación Secundaria y similar;2022T2;29,7
Hombres;02 Aragón;Primera etapa de Educación Secundaria y similar;2022T1;30,5
Hombres;02 Aragón;Primera etapa de Educación Secundaria y similar;2021T4;29,0
Hombres;02 Aragón;Primera etapa de Educación Secundaria y similar;2021T3;28,0
Hombres;02 Aragón;Primera etapa de Educación Secundaria y similar;2021T2;26,9
Hombres;02 Aragón;Primera etapa de Educación Secundaria y similar;2021T1;28,1
Hombres;02 Aragón;Segunda etapa de educación secundaria, con orientación general;2023T4;12,3
Hombres;02 Aragón;Segunda etapa de educación secundaria, con orientación general;2023T3;12,0
Hombres;02 Aragón;Segunda etapa de educación secundaria, con orientación general;2023T2;13,1
Hombres;02 Aragón;Segunda etapa de educación secundaria, con orientación general;2023T1;12,1
Hombres;02 Aragón;Segunda etapa de educación secundaria, con orientación general;2022T4;12,7
Hombres;02 Aragón;Segunda etapa de educación secundaria, con orientación general;2022T3;13,1
Hombres;02 Aragón;Segunda etapa de educación secundaria, con orientación general;2022T2;13,3
Hombres;02 Aragón;Segunda etapa de educación secundaria, con orientación general;2022T1;12,7
Hombres;02 Aragón;Segunda etapa de educación secundaria, con orientación general;2021T4;13,7
Hombres;02 Aragón;Segunda etapa de educación secundaria, con orientación general;2021T3;15,4
Hombres;02 Aragón;Segunda etapa de educación secundaria, con orientación general;2021T2;15,3
Hombres;02 Aragón;Segunda etapa de educación secundaria, con orientación general;2021T1;14,1
Hombres;02 Aragón;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2023T4;11,5
Hombres;02 Aragón;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2023T3;11,4
Hombres;02 Aragón;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2023T2;10,8
Hombres;02 Aragón;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2023T1;10,4
Hombres;02 Aragón;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2022T4;10,5
Hombres;02 Aragón;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2022T3;10,7
Hombres;02 Aragón;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2022T2;11,3
Hombres;02 Aragón;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2022T1;11,5
Hombres;02 Aragón;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2021T4;12,6
Hombres;02 Aragón;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2021T3;12,2
Hombres;02 Aragón;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2021T2;12,5
Hombres;02 Aragón;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2021T1;12,5
Hombres;02 Aragón;Educación superior;2023T4;33,0
Hombres;02 Aragón;Educación superior;2023T3;33,5
Hombres;02 Aragón;Educación superior;2023T2;33,9
Hombres;02 Aragón;Educación superior;2023T1;32,4
Hombres;02 Aragón;Educación superior;2022T4;33,3
Hombres;02 Aragón;Educación superior;2022T3;33,2
Hombres;02 Aragón;Educación superior;2022T2;30,4
Hombres;02 Aragón;Educación superior;2022T1;30,7
Hombres;02 Aragón;Educación superior;2021T4;30,1
Hombres;02 Aragón;Educación superior;2021T3;30,5
Hombres;02 Aragón;Educación superior;2021T2;30,5
Hombres;02 Aragón;Educación superior;2021T1;30,7
Hombres;03 Asturias, Principado de;Analfabetos;2023T4;0,1
Hombres;03 Asturias, Principado de;Analfabetos;2023T3;0,2
Hombres;03 Asturias, Principado de;Analfabetos;2023T2;0,3
Hombres;03 Asturias, Principado de;Analfabetos;2023T1;0,5
Hombres;03 Asturias, Principado de;Analfabetos;2022T4;0,6
Hombres;03 Asturias, Principado de;Analfabetos;2022T3;0,8
Hombres;03 Asturias, Principado de;Analfabetos;2022T2;1,0
Hombres;03 Asturias, Principado de;Analfabetos;2022T1;0,8
Hombres;03 Asturias, Principado de;Analfabetos;2021T4;0,6
Hombres;03 Asturias, Principado de;Analfabetos;2021T3;0,4
Hombres;03 Asturias, Principado de;Analfabetos;2021T2;0,5
Hombres;03 Asturias, Principado de;Analfabetos;2021T1;0,5
Hombres;03 Asturias, Principado de;Estudios primarios incompletos;2023T4;1,1
Hombres;03 Asturias, Principado de;Estudios primarios incompletos;2023T3;1,4
Hombres;03 Asturias, Principado de;Estudios primarios incompletos;2023T2;1,4
Hombres;03 Asturias, Principado de;Estudios primarios incompletos;2023T1;1,7
Hombres;03 Asturias, Principado de;Estudios primarios incompletos;2022T4;1,8
Hombres;03 Asturias, Principado de;Estudios primarios incompletos;2022T3;2,1
Hombres;03 Asturias, Principado de;Estudios primarios incompletos;2022T2;1,8
Hombres;03 Asturias, Principado de;Estudios primarios incompletos;2022T1;1,6
Hombres;03 Asturias, Principado de;Estudios primarios incompletos;2021T4;1,5
Hombres;03 Asturias, Principado de;Estudios primarios incompletos;2021T3;1,7
Hombres;03 Asturias, Principado de;Estudios primarios incompletos;2021T2;1,6
Hombres;03 Asturias, Principado de;Estudios primarios incompletos;2021T1;1,3
Hombres;03 Asturias, Principado de;Educación primaria;2023T4;7,5
Hombres;03 Asturias, Principado de;Educación primaria;2023T3;7,1
Hombres;03 Asturias, Principado de;Educación primaria;2023T2;6,8
Hombres;03 Asturias, Principado de;Educación primaria;2023T1;6,0
Hombres;03 Asturias, Principado de;Educación primaria;2022T4;6,4
Hombres;03 Asturias, Principado de;Educación primaria;2022T3;6,2
Hombres;03 Asturias, Principado de;Educación primaria;2022T2;7,5
Hombres;03 Asturias, Principado de;Educación primaria;2022T1;7,0
Hombres;03 Asturias, Principado de;Educación primaria;2021T4;8,1
Hombres;03 Asturias, Principado de;Educación primaria;2021T3;8,6
Hombres;03 Asturias, Principado de;Educación primaria;2021T2;8,4
Hombres;03 Asturias, Principado de;Educación primaria;2021T1;9,0
Hombres;03 Asturias, Principado de;Primera etapa de Educación Secundaria y similar;2023T4;33,8
Hombres;03 Asturias, Principado de;Primera etapa de Educación Secundaria y similar;2023T3;34,2
Hombres;03 Asturias, Principado de;Primera etapa de Educación Secundaria y similar;2023T2;33,3
Hombres;03 Asturias, Principado de;Primera etapa de Educación Secundaria y similar;2023T1;34,7
Hombres;03 Asturias, Principado de;Primera etapa de Educación Secundaria y similar;2022T4;33,4
Hombres;03 Asturias, Principado de;Primera etapa de Educación Secundaria y similar;2022T3;34,0
Hombres;03 Asturias, Principado de;Primera etapa de Educación Secundaria y similar;2022T2;32,8
Hombres;03 Asturias, Principado de;Primera etapa de Educación Secundaria y similar;2022T1;33,1
Hombres;03 Asturias, Principado de;Primera etapa de Educación Secundaria y similar;2021T4;31,3
Hombres;03 Asturias, Principado de;Primera etapa de Educación Secundaria y similar;2021T3;30,6
Hombres;03 Asturias, Principado de;Primera etapa de Educación Secundaria y similar;2021T2;32,6
Hombres;03 Asturias, Principado de;Primera etapa de Educación Secundaria y similar;2021T1;31,2
Hombres;03 Asturias, Principado de;Segunda etapa de educación secundaria, con orientación general;2023T4;15,4
Hombres;03 Asturias, Principado de;Segunda etapa de educación secundaria, con orientación general;2023T3;14,4
Hombres;03 Asturias, Principado de;Segunda etapa de educación secundaria, con orientación general;2023T2;14,7
Hombres;03 Asturias, Principado de;Segunda etapa de educación secundaria, con orientación general;2023T1;12,8
Hombres;03 Asturias, Principado de;Segunda etapa de educación secundaria, con orientación general;2022T4;14,1
Hombres;03 Asturias, Principado de;Segunda etapa de educación secundaria, con orientación general;2022T3;14,1
Hombres;03 Asturias, Principado de;Segunda etapa de educación secundaria, con orientación general;2022T2;14,1
Hombres;03 Asturias, Principado de;Segunda etapa de educación secundaria, con orientación general;2022T1;13,1
Hombres;03 Asturias, Principado de;Segunda etapa de educación secundaria, con orientación general;2021T4;13,8
Hombres;03 Asturias, Principado de;Segunda etapa de educación secundaria, con orientación general;2021T3;14,0
Hombres;03 Asturias, Principado de;Segunda etapa de educación secundaria, con orientación general;2021T2;13,5
Hombres;03 Asturias, Principado de;Segunda etapa de educación secundaria, con orientación general;2021T1;13,7
Hombres;03 Asturias, Principado de;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2023T4;10,1
Hombres;03 Asturias, Principado de;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2023T3;10,5
Hombres;03 Asturias, Principado de;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2023T2;10,5
Hombres;03 Asturias, Principado de;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2023T1;10,7
Hombres;03 Asturias, Principado de;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2022T4;10,4
Hombres;03 Asturias, Principado de;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2022T3;9,4
Hombres;03 Asturias, Principado de;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2022T2;9,3
Hombres;03 Asturias, Principado de;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2022T1;8,9
Hombres;03 Asturias, Principado de;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2021T4;9,3
Hombres;03 Asturias, Principado de;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2021T3;10,2
Hombres;03 Asturias, Principado de;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2021T2;9,9
Hombres;03 Asturias, Principado de;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2021T1;10,1
Hombres;03 Asturias, Principado de;Educación superior;2023T4;32,0
Hombres;03 Asturias, Principado de;Educación superior;2023T3;32,1
Hombres;03 Asturias, Principado de;Educación superior;2023T2;33,0
Hombres;03 Asturias, Principado de;Educación superior;2023T1;33,5
Hombres;03 Asturias, Principado de;Educación superior;2022T4;33,3
Hombres;03 Asturias, Principado de;Educación superior;2022T3;33,4
Hombres;03 Asturias, Principado de;Educación superior;2022T2;33,5
Hombres;03 Asturias, Principado de;Educación superior;2022T1;35,4
Hombres;03 Asturias, Principado de;Educación superior;2021T4;35,4
Hombres;03 Asturias, Principado de;Educación superior;2021T3;34,5
Hombres;03 Asturias, Principado de;Educación superior;2021T2;33,6
Hombres;03 Asturias, Principado de;Educación superior;2021T1;34,3
Hombres;04 Balears, Illes;Analfabetos;2023T4;1,1
Hombres;04 Balears, Illes;Analfabetos;2023T3;0,8
Hombres;04 Balears, Illes;Analfabetos;2023T2;1,1
Hombres;04 Balears, Illes;Analfabetos;2023T1;0,6
Hombres;04 Balears, Illes;Analfabetos;2022T4;0,5
Hombres;04 Balears, Illes;Analfabetos;2022T3;1,1
Hombres;04 Balears, Illes;Analfabetos;2022T2;0,9
Hombres;04 Balears, Illes;Analfabetos;2022T1;1,1
Hombres;04 Balears, Illes;Analfabetos;2021T4;0,9
Hombres;04 Balears, Illes;Analfabetos;2021T3;0,9
Hombres;04 Balears, Illes;Analfabetos;2021T2;1,1
Hombres;04 Balears, Illes;Analfabetos;2021T1;1,2
Hombres;04 Balears, Illes;Estudios primarios incompletos;2023T4;2,4
Hombres;04 Balears, Illes;Estudios primarios incompletos;2023T3;2,3
Hombres;04 Balears, Illes;Estudios primarios incompletos;2023T2;3,6
Hombres;04 Balears, Illes;Estudios primarios incompletos;2023T1;2,7
Hombres;04 Balears, Illes;Estudios primarios incompletos;2022T4;2,6
Hombres;04 Balears, Illes;Estudios primarios incompletos;2022T3;3,4
Hombres;04 Balears, Illes;Estudios primarios incompletos;2022T2;4,1
Hombres;04 Balears, Illes;Estudios primarios incompletos;2022T1;3,0
Hombres;04 Balears, Illes;Estudios primarios incompletos;2021T4;2,4
Hombres;04 Balears, Illes;Estudios primarios incompletos;2021T3;2,4
Hombres;04 Balears, Illes;Estudios primarios incompletos;2021T2;2,4
Hombres;04 Balears, Illes;Estudios primarios incompletos;2021T1;2,0
Hombres;04 Balears, Illes;Educación primaria;2023T4;11,3
Hombres;04 Balears, Illes;Educación primaria;2023T3;10,6
Hombres;04 Balears, Illes;Educación primaria;2023T2;9,5
Hombres;04 Balears, Illes;Educación primaria;2023T1;9,7
Hombres;04 Balears, Illes;Educación primaria;2022T4;10,8
Hombres;04 Balears, Illes;Educación primaria;2022T3;8,9
Hombres;04 Balears, Illes;Educación primaria;2022T2;9,2
Hombres;04 Balears, Illes;Educación primaria;2022T1;7,9
Hombres;04 Balears, Illes;Educación primaria;2021T4;7,1
Hombres;04 Balears, Illes;Educación primaria;2021T3;9,5
Hombres;04 Balears, Illes;Educación primaria;2021T2;7,2
Hombres;04 Balears, Illes;Educación primaria;2021T1;7,0
Hombres;04 Balears, Illes;Primera etapa de Educación Secundaria y similar;2023T4;33,0
Hombres;04 Balears, Illes;Primera etapa de Educación Secundaria y similar;2023T3;33,1
Hombres;04 Balears, Illes;Primera etapa de Educación Secundaria y similar;2023T2;33,4
Hombres;04 Balears, Illes;Primera etapa de Educación Secundaria y similar;2023T1;33,2
Hombres;04 Balears, Illes;Primera etapa de Educación Secundaria y similar;2022T4;35,3
Hombres;04 Balears, Illes;Primera etapa de Educación Secundaria y similar;2022T3;33,7
Hombres;04 Balears, Illes;Primera etapa de Educación Secundaria y similar;2022T2;34,3
Hombres;04 Balears, Illes;Primera etapa de Educación Secundaria y similar;2022T1;31,6
Hombres;04 Balears, Illes;Primera etapa de Educación Secundaria y similar;2021T4;32,6
Hombres;04 Balears, Illes;Primera etapa de Educación Secundaria y similar;2021T3;29,4
Hombres;04 Balears, Illes;Primera etapa de Educación Secundaria y similar;2021T2;33,2
Hombres;04 Balears, Illes;Primera etapa de Educación Secundaria y similar;2021T1;34,2
Hombres;04 Balears, Illes;Segunda etapa de educación secundaria, con orientación general;2023T4;16,2
Hombres;04 Balears, Illes;Segunda etapa de educación secundaria, con orientación general;2023T3;17,4
Hombres;04 Balears, Illes;Segunda etapa de educación secundaria, con orientación general;2023T2;18,5
Hombres;04 Balears, Illes;Segunda etapa de educación secundaria, con orientación general;2023T1;18,8
Hombres;04 Balears, Illes;Segunda etapa de educación secundaria, con orientación general;2022T4;18,5
Hombres;04 Balears, Illes;Segunda etapa de educación secundaria, con orientación general;2022T3;17,8
Hombres;04 Balears, Illes;Segunda etapa de educación secundaria, con orientación general;2022T2;18,5
Hombres;04 Balears, Illes;Segunda etapa de educación secundaria, con orientación general;2022T1;19,7
Hombres;04 Balears, Illes;Segunda etapa de educación secundaria, con orientación general;2021T4;19,4
Hombres;04 Balears, Illes;Segunda etapa de educación secundaria, con orientación general;2021T3;19,2
Hombres;04 Balears, Illes;Segunda etapa de educación secundaria, con orientación general;2021T2;17,0
Hombres;04 Balears, Illes;Segunda etapa de educación secundaria, con orientación general;2021T1;17,3
Hombres;04 Balears, Illes;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2023T4;10,2
Hombres;04 Balears, Illes;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2023T3;10,2
Hombres;04 Balears, Illes;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2023T2;9,8
Hombres;04 Balears, Illes;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2023T1;10,1
Hombres;04 Balears, Illes;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2022T4;9,7
Hombres;04 Balears, Illes;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2022T3;10,2
Hombres;04 Balears, Illes;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2022T2;9,0
Hombres;04 Balears, Illes;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2022T1;10,6
Hombres;04 Balears, Illes;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2021T4;11,1
Hombres;04 Balears, Illes;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2021T3;11,9
Hombres;04 Balears, Illes;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2021T2;10,9
Hombres;04 Balears, Illes;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2021T1;11,0
Hombres;04 Balears, Illes;Educación superior;2023T4;25,9
Hombres;04 Balears, Illes;Educación superior;2023T3;25,6
Hombres;04 Balears, Illes;Educación superior;2023T2;24,0
Hombres;04 Balears, Illes;Educación superior;2023T1;24,9
Hombres;04 Balears, Illes;Educación superior;2022T4;22,6
Hombres;04 Balears, Illes;Educación superior;2022T3;24,8
Hombres;04 Balears, Illes;Educación superior;2022T2;24,0
Hombres;04 Balears, Illes;Educación superior;2022T1;26,1
Hombres;04 Balears, Illes;Educación superior;2021T4;26,4
Hombres;04 Balears, Illes;Educación superior;2021T3;26,7
Hombres;04 Balears, Illes;Educación superior;2021T2;28,1
Hombres;04 Balears, Illes;Educación superior;2021T1;27,2
Hombres;05 Canarias;Analfabetos;2023T4;1,0
Hombres;05 Canarias;Analfabetos;2023T3;0,7
Hombres;05 Canarias;Analfabetos;2023T2;0,7
Hombres;05 Canarias;Analfabetos;2023T1;0,9
Hombres;05 Canarias;Analfabetos;2022T4;0,9
Hombres;05 Canarias;Analfabetos;2022T3;1,2
Hombres;05 Canarias;Analfabetos;2022T2;1,3
Hombres;05 Canarias;Analfabetos;2022T1;1,5
Hombres;05 Canarias;Analfabetos;2021T4;1,6
Hombres;05 Canarias;Analfabetos;2021T3;1,9
Hombres;05 Canarias;Analfabetos;2021T2;1,8
Hombres;05 Canarias;Analfabetos;2021T1;1,7
Hombres;05 Canarias;Estudios primarios incompletos;2023T4;4,7
Hombres;05 Canarias;Estudios primarios incompletos;2023T3;4,6
Hombres;05 Canarias;Estudios primarios incompletos;2023T2;4,4
Hombres;05 Canarias;Estudios primarios incompletos;2023T1;4,3
Hombres;05 Canarias;Estudios primarios incompletos;2022T4;4,6
Hombres;05 Canarias;Estudios primarios incompletos;2022T3;4,6
Hombres;05 Canarias;Estudios primarios incompletos;2022T2;4,1
Hombres;05 Canarias;Estudios primarios incompletos;2022T1;3,9
Hombres;05 Canarias;Estudios primarios incompletos;2021T4;4,5
Hombres;05 Canarias;Estudios primarios incompletos;2021T3;4,5
Hombres;05 Canarias;Estudios primarios incompletos;2021T2;4,6
Hombres;05 Canarias;Estudios primarios incompletos;2021T1;4,9
Hombres;05 Canarias;Educación primaria;2023T4;11,1
Hombres;05 Canarias;Educación primaria;2023T3;11,9
Hombres;05 Canarias;Educación primaria;2023T2;12,6
Hombres;05 Canarias;Educación primaria;2023T1;12,8
